ProductId,ProductName,Price,Stock,Description,ProductIcon,CategoryType
IF04,Krishna Muralidhari Superfine Brass Idol 30 inches With Kalpavriksha tree,2600,500,"Krishna enjoys playing the flute in front of a Bodhi or Kalpavriksha Tree. This idol is resonates Positivity and will enhance the beauty of your Temples, Living rooms , Entry ways or halls.",https://cdn.shopify.com/s/files/1/0638/8491/9013/products/InShot_20220717_143729445.jpg?v=1658050806&width=823,0
IF05,Naqsh Polyresin Attitude Monk Mala In Neck Figurine in Brown-Bronze Colour,2600,500,"Laughing Buddha, as we all know, brings good luck, contentment and abundance in one's life.",https://hometown.gumlet.io/media/product/68/6563/33496/1.jpg?mode=fill&w=335&h=335&dpr=1.3,0
IF06,Miraya Horse Polyresin Hand Finished Figurine 41Cm in Matt Black & Gold Colour,800,500,"Horses have oval-shaped hooves, long tails, short hair, long slender legs, muscular and deep torso build, long thick necks, and large elongated heads",https://hometown.gumlet.io/media/product/08/0573/28860/1.jpg?mode=fill&w=335&h=335&dpr=1.3,0
IF07,"Miraya Polyresin Bird Flock On Branch, Polyresin Hand Finished Figurine 30Cm in White & Gold Colour",1200,500,"Watching bird can help reduce levels of anxiety, depression and stress by keeping your mind calm, active and entertained, according to outdoor experts",https://hometown.gumlet.io/media/product/10/1573/43312/1.jpg?mode=fill&w=335&h=335&dpr=1.3,0
IF08,"Glowing Tree Backlit wall Art / Night Light, Walnut Finish",1500,500,"Designed and crafted to enhance the decor of outside space of various kind of establishment, these trees can also be used to gain attention of audiences during advertisement and allied events. Available in various shapes, sizes and colors, these are offered at most competitive prices to our valued customers.",https://cdn.shopify.com/s/files/1/1306/4195/products/wallmantra-backlit-night-lamp-copy-of-7-horses-backlit-wood-wall-decor-night-light-walnut-finish-30218703863974_1024x1024.jpg?v=1629095276,0
WS05,Rock Climbing Men Sculpture Wall Hanging,2000,250,The Rock Climbing Men Sculpture Wall Hanging is a unique and eye-catching decorative piece. Its simple installation makes it a great and easy way to add art to your home. Mount it with just one round peg and the twisted loop. You can easily mount multiple climbing men at various heights to create a cool climbing illusion.,https://cdn.shopify.com/s/files/1/0061/4639/2135/products/creative-rock-climbing-men-sculpture-wal_main-2_1800x1800.jpg?v=1629471356,1
IF09,Black Panther Animal Figurine and Idols,800,500,The large and masculine animal is known for being fearless and feared by many. India Circus introduces the Black Panthera Figurine which symbolises strength and confidence and adds elegance to your living room decor. Add this piece of home decor accent to your interiors now. Browse for more home decor products and home decor accents online on India Circus today!,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRFWMhOxFj1Vy3yVoGkJRHyjMaDZhIUu5zTXnzU7XPe75G96F0LNzMAqnCO4bS_kC8zw5ailKdybCo&usqp=Cac,0
WS06,BIRDS OF FREEDOM WALL DECOR,600,250,he Birds of Freedom Wall Decor by Carrter are as unique as they come. Designed to add a beautiful artful touch to the walls at home in an eye-catching 3D way. Their contemporary but natural design will give your home a splash of elegance and create an experience for you and your guests. These high quality resin pieces are designed to impress and made to last.,https://cdn.shopify.com/s/files/1/0648/0009/6498/products/HTB1RtmnRrPpK1RjSZFFq6y5PpXa1_005315b5-ace2-4c8e-bb16-0d50f50bc9ef_2000x.jpg?v=1653720859,1
WS07,Teal Frame wall clock,750,250,Teal Frame wall clock is perfectly propotioned to fit every aesthetic need and it is designed to be sufficiently subtle depending on the position and according to the need.,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRWyxxqcpW0z0zb8kWwwhYZUiQIcW-rEP9JKYmRLrlJ63ybSoke82gn2_sDZmZPczfATi-VV9YlE_rN5fTU54XMhWMPUB6edBO-pV0TSRtA&usqp=Cac,1
WS08,Eiffel Tower Pencil Lead Sculpture,1000,250,It's made out of graphite artist grade pencil. The carving will be packed in a 9x9 inches plain shadow box frame with white background. The shadow box frame has an advantage of showing the depth of carving. A perfect wall mount frame in elegant design. Preferred for interior decoration.,https://worldartcommunity.com/images/item-images/item_image_1989d74a696a059835bbec927fc314fd.jpg,1
